App,Category,Rating,Reviews,Size,Installs,Type,Price,Content Rating,Genres,Last Updated,Current Ver,Android Ver,Location
Walmart MoneyCard,FINANCE,4.2,6148,10000000,1000000,Free,0.0,Everyone,Finance,01-06-2018,1.14.1,4.1 and up,USA
Moven - Smart Finances,FINANCE,3.8,861,17000000,100000,Free,0.0,Everyone,Finance,29-05-2018,3.3.9,4.4 and up,USA
Qapital - Save Small. Live Large,FINANCE,4.5,8662,38000000,100000,Free,0.0,Everyone,Finance,20-07-2018,2.5.7,4.4 and up,USA
Experian - Free Credit Report,FINANCE,4.6,23130,46000000,1000000,Free,0.0,Everyone,Finance,12-07-2018,2.1.4,4.2 and up,Canada
Branch,FINANCE,4.6,69973,3800000,1000000,Free,0.0,Everyone,Finance,23-07-2018,1.17.1,4.0 and up,Canada
"WalletHub - Free Credit Score, Report & Monitoring",FINANCE,4.7,1311,9300000,50000,Free,0.0,Everyone,Finance,19-06-2018,1.4.11,4.4 and up,India
CreditWise from Capital One,FINANCE,4.6,26587,8400000,1000000,Free,0.0,Everyone,Finance,19-07-2018,1.18.0,4.4 and up,India
"NerdWallet: Personal Finance, Credit Score & Cash",FINANCE,4.6,2417,28000000,100000,Free,0.0,Everyone,Finance,03-08-2018,3.5.0,4.4 and up,Australia
my face,FINANCE,3.8,1054,9700000,100000,Free,0.0,Everyone,Finance,10-07-2018,2.3.0,5.0 and up,USA
Credit Sesame,FINANCE,4.3,25166,11000000,1000000,Free,0.0,Everyone,Finance,25-07-2018,3.1.16,4.1 and up,Canada
Fresh EBT - Food Stamp Balance,FINANCE,4.5,19870,7400000,1000000,Free,0.0,Everyone,Finance,24-07-2018,2.9.5,4.0.3 and up,India
"Hurdlr: Track Mileage, Expenses, and Log Receipts",FINANCE,4.6,3596,19000000,100000,Free,0.0,Everyone,Finance,20-07-2018,16.6,6.0 and up,Australia
Mobills: Budget Planner,FINANCE,4.6,161440,16000000,1000000,Free,0.0,Everyone,Finance,03-08-2018,3.2.18.07.30,4.0.3 and up,Australia
Everlance: Free Mileage Log,FINANCE,4.7,7514,14000000,100000,Free,0.0,Everyone,Finance,31-07-2018,1.9.9.9.3,4.4 and up,UK
MileIQ - Free Mileage Tracker for Business,FINANCE,4.5,46106,22000000,1000000,Free,0.0,Everyone,Finance,31-07-2018,1.28.0.5402,4.4 and up,Canada
QuickBooks Self-Employed:Mileage Tracker and Taxes,FINANCE,4.4,15141,25000000,1000000,Free,0.0,Everyone,Finance,24-07-2018,4.63,5.0 and up,India
FREE Stock Market Trading Tips,FINANCE,3.9,714,3600000,50000,Free,0.0,Everyone,Finance,07-06-2017,2.10.3,2.3.3 and up,Australia
Stock Quote,FINANCE,4.1,4344,4500000,500000,Free,0.0,Everyone,Finance,30-07-2018,3.6.2,4.0 and up,UK
Stock Trainer: Virtual Trading (Stock Markets),FINANCE,4.4,42809,23000000,1000000,Free,0.0,Everyone,Finance,27-07-2018,3.04 - Beta,4.1 and up,Australia
US Stock Market,FINANCE,4.4,1922,4200000,100000,Free,0.0,Everyone,Finance,01-08-2018,1.28,2.3 and up,India
E*TRADE Mobile,FINANCE,3.9,10658,58000000,1000000,Free,0.0,Everyone,Finance,02-08-2018,6.8.2,4.4 and up,Canada
MSN Money- Stock Quotes & News,FINANCE,4.5,78361,22000000,1000000,Free,0.0,Everyone,Finance,05-07-2018,1.2.0,4.2 and up,UK
NSE Mobile Trading,FINANCE,4.1,13868,1400000,1000000,Free,0.0,Everyone,Finance,03-08-2017,1.1.16,2.1 and up,India
"JStock - Stock Market, Portfolio & News",FINANCE,4.6,11066,9100000,500000,Free,0.0,Everyone,Finance,18-07-2018,1.1.39,4.0 and up,USA
Digit Save Money Automatically,FINANCE,4.5,8188,22000000,100000,Free,0.0,Everyone,Finance,31-07-2018,2.29.01,4.1 and up,Australia
Current debit card and app made for teens,FINANCE,4.3,685,21000000,50000,Free,0.0,Everyone,Finance,03-08-2018,3.0.22,4.4 and up,Australia
Betterment,FINANCE,4.4,3780,11000000,100000,Free,0.0,Everyone,Finance,03-08-2018,6.0.6,5.0 and up,USA
Citizens Bank Mobile Banking,FINANCE,4.1,15192,38000000,1000000,Free,0.0,Everyone,Finance,23-05-2018,4.2.1,4.1 and up,India
GoBank,FINANCE,4.4,5950,12000000,500000,Free,0.0,Everyone,Finance,01-06-2018,2.131,4.1 and up,Australia
NetSpend Prepaid,FINANCE,4.2,15993,45000000,1000000,Free,0.0,Everyone,Finance,09-05-2018,4.10.0,4.4 and up,USA
BBVA Compass Banking,FINANCE,4.3,5905,50000000,500000,Free,0.0,Everyone,Finance,27-07-2018,6.0.2,4.4 and up,India
Simple - Better Banking,FINANCE,4.4,7731,24000000,100000,Free,0.0,Everyone,Finance,02-08-2018,2.53.2,5.0 and up,UK
PayPal,FINANCE,4.3,659760,47000000,50000000,Free,0.0,Everyone,Finance,18-07-2018,6.28.0,4.4 and up,India
BankMobile Vibe App,FINANCE,4.3,14627,23000000,1000000,Free,0.0,Everyone,Finance,09-07-2018,5.1,4.1 and up,UK
Netspend Skylight ONE,FINANCE,3.9,1098,46000000,100000,Free,0.0,Everyone,Finance,09-05-2018,4.10.0,4.4 and up,Canada
ACE Elite,FINANCE,4.1,2898,45000000,100000,Free,0.0,Everyone,Finance,09-05-2018,4.10.0,4.4 and up,USA
U.S. Bank,FINANCE,4.1,70782,50000000,1000000,Free,0.0,Everyone,Finance,25-07-2018,2.34.29,4.0.3 and up,Canada
Huntington Mobile,FINANCE,4.2,11264,24000000,1000000,Free,0.0,Everyone,Finance,26-06-2018,5.2.203,4.2 and up,USA
USAA Mobile,FINANCE,4.5,100997,33000000,5000000,Free,0.0,Everyone,Finance,27-07-2018,8.44.2,5.0 and up,UK
Associated Credit Union Mobile,FINANCE,4.7,3290,12000000,50000,Free,0.0,Everyone,Finance,30-05-2018,5.9.1.0,5.0 and up,UK
Bank of America Mobile Banking,FINANCE,4.4,341090,53000000,10000000,Free,0.0,Everyone,Finance,31-07-2018,7.8.8,4.4 and up,USA
USE Credit Union Mobile,FINANCE,4.6,964,14000000,10000,Free,0.0,Everyone,Finance,12-06-2018,5.9.1.0,5.0 and up,Canada
Discover Mobile,FINANCE,4.6,87951,68000000,5000000,Free,0.0,Everyone,Finance,23-07-2018,9.7.0,4.1 and up,India
Wells Fargo Mobile,FINANCE,4.4,250719,37000000,10000000,Free,0.0,Everyone,Finance,31-07-2018,6.8.0.109,5.0 and up,USA
Capital One® Mobile,FINANCE,4.6,510401,79000000,10000000,Free,0.0,Everyone,Finance,01-08-2018,5.38.1,5.0 and up,Australia
Amex Mobile,FINANCE,4.3,24729,32000000,1000000,Free,0.0,Everyone,Finance,03-08-2018,6.7.0,5.0 and up,Canada
Citi Mobile®,FINANCE,4.0,78306,46000000,5000000,Free,0.0,Everyone,Finance,31-07-2018,9.9.0,4.4 and up,USA
Navy Federal Credit Union,FINANCE,4.4,43313,40000000,1000000,Free,0.0,Everyone,Finance,09-07-2018,5.16.2,4.1 and up,India
Chase Mobile,FINANCE,4.6,1374549,32000000,10000000,Free,0.0,Everyone,Finance,23-07-2018,3.52,5.0 and up,USA
Barclays US for Android,FINANCE,4.1,6998,24000000,1000000,Free,0.0,Everyone,Finance,01-08-2018,6.29.37589,5.0 and up,Canada
McDonald's,FOOD_AND_DRINK,3.6,145323,42000000,10000000,Free,0.0,Everyone,Food & Drink,31-07-2018,5.15.0,4.4 and up,India
Cookpad - FREE recipe search makes fun cooking · musical making!,FOOD_AND_DRINK,4.1,64784,13000000,10000000,Free,0.0,Everyone,Food & Drink,02-08-2018,18.6.0.10,5.0 and up,Australia
DELISH KITCHEN - FREE recipe movies make food fun and easy!,FOOD_AND_DRINK,4.6,32997,13000000,1000000,Free,0.0,Everyone,Food & Drink,04-08-2018,2.2.7,4.1 and up,USA
Easy Recipes,FOOD_AND_DRINK,4.7,2707,8900000,100000,Free,0.0,Everyone,Food & Drink,15-05-2018,2.12,4.0.3 and up,Canada
Tastely,FOOD_AND_DRINK,4.7,611136,19000000,10000000,Free,0.0,Everyone,Food & Drink,13-07-2018,3.2.0d,4.0.3 and up,USA
Frigo Magic: Easy recipe idea and anti-waste,FOOD_AND_DRINK,4.1,2473,14000000,500000,Free,0.0,Everyone,Food & Drink,28-07-2018,3.1.5,4.4 and up,UK
McDonald's - McDonald's Japan,FOOD_AND_DRINK,3.4,109784,64000000,10000000,Free,0.0,Everyone,Food & Drink,03-08-2018,4.0.30,4.0.3 and up,USA
Debonairs Pizza,FOOD_AND_DRINK,3.8,3320,8400000,500000,Free,0.0,Everyone,Food & Drink,04-08-2018,1.9.117,4.0.3 and up,Australia
Popeyes® App,FOOD_AND_DRINK,3.7,61,11000000,50000,Free,0.0,Everyone,Food & Drink,23-07-2018,1.0.2,4.1 and up,UK
Dunkin' Donuts,FOOD_AND_DRINK,4.2,68103,66000000,1000000,Free,0.0,Everyone,Food & Drink,20-06-2018,5.0.0,4.4 and up,USA
Refreshing app Free application that can use deal coupons,FOOD_AND_DRINK,3.5,10741,41000000,1000000,Free,0.0,Everyone,Food & Drink,23-07-2018,5.2.2,4.2 and up,UK
Simple Recipes,FOOD_AND_DRINK,4.7,3803,15000000,500000,Free,0.0,Everyone,Food & Drink,22-02-2018,1.6,4.0 and up,UK
Grubhub: Food Delivery,FOOD_AND_DRINK,4.5,155944,35000000,5000000,Free,0.0,Everyone,Food & Drink,02-08-2018,7.12,5.0 and up,Canada
Panera Bread,FOOD_AND_DRINK,4.2,10159,36000000,1000000,Free,0.0,Everyone,Food & Drink,17-07-2018,4.3.3,5.0 and up,India
Chick-fil-A,FOOD_AND_DRINK,4.3,28008,17000000,5000000,Free,0.0,Everyone,Food & Drink,03-08-2018,6.0.1,5.0 and up,UK
hellofood - Food Delivery,FOOD_AND_DRINK,4.0,43614,25000000,1000000,Free,0.0,Everyone,Food & Drink,12-10-2016,2.14.36,4.0.3 and up,UK
Starbucks,FOOD_AND_DRINK,4.5,455377,35000000,10000000,Free,0.0,Everyone,Food & Drink,01-08-2018,4.11.1,4.4 and up,Australia
Easy and quick desserts,FOOD_AND_DRINK,4.6,1398,10000000,100000,Free,0.0,Everyone 10+,Food & Drink,14-06-2018,1,4.0.3 and up,Canada
Chef - Recipes & Cooking,FOOD_AND_DRINK,4.1,32405,12000000,5000000,Free,0.0,Everyone,Food & Drink,03-07-2018,3.3.21,4.1 and up,USA
HungerStation,FOOD_AND_DRINK,3.8,22513,11000000,1000000,Free,0.0,Everyone,Food & Drink,21-05-2018,5.3.8,4.0.3 and up,India
Dr. Oetker recipe ideas,FOOD_AND_DRINK,4.2,8509,17000000,1000000,Free,0.0,Everyone,Food & Drink,12-07-2018,3.5.5,4.0.3 and up,India
SONIC Drive-In,FOOD_AND_DRINK,4.3,19314,43000000,1000000,Free,0.0,Everyone,Food & Drink,31-07-2018,3.3.6,4.4 and up,USA
SUBWAY®,FOOD_AND_DRINK,3.8,21314,41000000,1000000,Free,0.0,Everyone,Food & Drink,24-07-2018,7.9.0.0,4.4 and up,USA
Dairy Queen,FOOD_AND_DRINK,3.7,731,43000000,100000,Free,0.0,Everyone,Food & Drink,25-07-2018,2.1.0,4.1 and up,Australia
9th stage,FOOD_AND_DRINK,4.5,454,16000000,100000,Free,0.0,Everyone,Food & Drink,28-03-2018,2.0.0,4.0.3 and up,Canada
OpenRice,FOOD_AND_DRINK,3.6,14952,39000000,1000000,Free,0.0,Everyone,Food & Drink,08-06-2018,5.8.5,4.1 and up,UK
SarashpazPapion (Cooking with Chef Bowls),FOOD_AND_DRINK,4.8,1250,13000000,50000,Free,0.0,Everyone,Food & Drink,28-07-2018,3.2.7,4.1 and up,USA
Little Caesars,FOOD_AND_DRINK,3.3,1726,30000000,500000,Free,0.0,Everyone,Food & Drink,19-07-2018,4.26,4.4 and up,Australia
Recipes Pastries and homemade pies More than 500 recipes for pastries,FOOD_AND_DRINK,4.7,14065,7100000,500000,Free,0.0,Everyone,Food & Drink,12-06-2018,1.2.2,4.1 and up,Canada
Om Waleed Sweets,FOOD_AND_DRINK,4.6,556,23000000,100000,Free,0.0,Teen,Food & Drink,25-01-2018,2,4.0 and up,UK
"Eat Fast Prepare ""Without Internet""",FOOD_AND_DRINK,4.6,4925,17000000,1000000,Free,0.0,Everyone,Food & Drink,10-06-2018,3.6.6,4.0.3 and up,UK
Wendy’s – Food and Offers,FOOD_AND_DRINK,3.4,6507,18000000,1000000,Free,0.0,Everyone,Food & Drink,12-04-2018,5.7.0,4.4 and up,Australia
Healthy Recipes Free,FOOD_AND_DRINK,4.0,1077,17000000,100000,Free,0.0,Everyone,Food & Drink,18-10-2017,3.2.0,4.0.3 and up,India
ChefTap Recipes & Grocery List,FOOD_AND_DRINK,4.5,9066,15000000,500000,Free,0.0,Everyone,Food & Drink,25-04-2018,4.0.0.427,5.1 and up,UK
Recipe Keeper,FOOD_AND_DRINK,4.4,1962,22000000,100000,Free,0.0,Everyone,Food & Drink,27-06-2018,3.17.1.0,4.1 and up,USA
50 Healthy Slow Cooker Recipes,FOOD_AND_DRINK,4.0,196,9000000,10000,Free,0.0,Everyone 10+,Food & Drink,17-02-2017,1.2,2.3.3 and up,USA
Easy Healthy Recipes,FOOD_AND_DRINK,4.1,278,7200000,50000,Free,0.0,Everyone,Food & Drink,20-07-2018,24.5.0,4.0 and up,India
Paprika Recipe Manager,FOOD_AND_DRINK,4.1,1268,2300000,50000,Paid,4.99,Everyone,Food & Drink,03-06-2018,1.4.4,4.0 and up,UK
Yummly Recipes & Shopping List,FOOD_AND_DRINK,4.5,91359,27000000,1000000,Free,0.0,Everyone,Food & Drink,05-07-2018,2.0.3,4.4 and up,India
Cookpad,FOOD_AND_DRINK,4.5,131569,8200000,10000000,Free,0.0,Everyone,Food & Drink,03-08-2018,2.76.2.0-android,4.2 and up,USA
"BigOven Recipes, Meal Planner, Grocery List & More",FOOD_AND_DRINK,4.3,31986,76000000,1000000,Free,0.0,Teen,Food & Drink,23-11-2017,5.7.23,5.0 and up,USA
Postmates Food Delivery: Order Eats & Alcohol,FOOD_AND_DRINK,3.6,22875,22000000,1000000,Free,0.0,Everyone,Food & Drink,27-07-2018,4.2.6,5.0 and up,India
OpenTable: Restaurants Near Me,FOOD_AND_DRINK,4.6,90242,19000000,5000000,Free,0.0,Everyone,Food & Drink,31-07-2018,9.15.0.2020,5.0 and up,Canada
Munchery: Chef Crafted Fresh Food Delivered,FOOD_AND_DRINK,3.9,464,28000000,50000,Free,0.0,Everyone,Food & Drink,22-05-2018,2.6.15,4.4 and up,India
Grubhub: Food Delivery,FOOD_AND_DRINK,4.5,155944,35000000,5000000,Free,0.0,Everyone,Food & Drink,02-08-2018,7.12,5.0 and up,Canada
Postmates Food Delivery: Order Eats & Alcohol,FOOD_AND_DRINK,3.6,22875,22000000,1000000,Free,0.0,Everyone,Food & Drink,27-07-2018,4.2.6,5.0 and up,India
EatStreet Food Delivery App,FOOD_AND_DRINK,4.6,7690,25000000,100000,Free,0.0,Everyone,Food & Drink,03-07-2018,3.1.14,5.0 and up,UK
Pizza Hut,FOOD_AND_DRINK,4.4,321134,30000000,10000000,Free,0.0,Everyone,Food & Drink,12-06-2018,4.7.0,4.1 and up,Canada
Caviar - Food Delivery,FOOD_AND_DRINK,4.2,3755,8500000,100000,Free,0.0,Everyone,Food & Drink,20-07-2018,2.4.11,6.0 and up,Canada
Chick-fil-A,FOOD_AND_DRINK,4.3,28009,17000000,5000000,Free,0.0,Everyone,Food & Drink,03-08-2018,6.0.1,5.0 and up,India
Uber Eats: Local Food Delivery,FOOD_AND_DRINK,4.2,333208,34000000,10000000,Free,0.0,Everyone,Food & Drink,01-08-2018,1.161.10002,5.0 and up,India
Seamless Food Delivery/Takeout,FOOD_AND_DRINK,4.5,35218,34000000,1000000,Free,0.0,Everyone,Food & Drink,02-08-2018,7.12,5.0 and up,USA
TheFork - Restaurants booking and special offers,FOOD_AND_DRINK,4.3,37517,17000000,5000000,Free,0.0,Everyone,Food & Drink,20-07-2018,11.11.1,4.1 and up,USA
foodpanda - Local Food Delivery,FOOD_AND_DRINK,4.0,292969,16000000,10000000,Free,0.0,Everyone,Food & Drink,30-07-2018,4.11.3,4.2 and up,UK
Step Counter - Calorie Counter,HEALTH_AND_FITNESS,4.0,1577,2200000,500000,Free,0.0,Everyone,Health & Fitness,12-08-2017,1.0.7,4.4 and up,Canada
Lose Belly Fat in 30 Days - Flat Stomach,HEALTH_AND_FITNESS,4.9,38098,11000000,5000000,Free,0.0,Everyone,Health & Fitness,21-06-2018,1.0.4,4.2 and up,Canada
Pedometer - Step Counter Free & Calorie Burner,HEALTH_AND_FITNESS,4.8,31139,6900000,1000000,Free,0.0,Everyone,Health & Fitness,24-07-2018,1.0.11,4.1 and up,India
Six Pack in 30 Days - Abs Workout,HEALTH_AND_FITNESS,4.9,272337,13000000,10000000,Free,0.0,Everyone,Health & Fitness,21-06-2018,1.0.2,4.2 and up,UK
Lose Weight in 30 Days,HEALTH_AND_FITNESS,4.8,220125,11000000,10000000,Free,0.0,Everyone,Health & Fitness,31-07-2018,1.0.14,4.0 and up,India
Pedometer,HEALTH_AND_FITNESS,4.4,400592,2900000,10000000,Free,0.0,Everyone,Health & Fitness,04-07-2018,5.23,4.0 and up,Canada
LG Health,HEALTH_AND_FITNESS,3.3,20098,25000000,10000000,Free,0.0,Everyone,Health & Fitness,14-05-2018,5.31.75,4.4 and up,Australia
Step Counter - Pedometer Free & Calorie Counter,HEALTH_AND_FITNESS,4.7,117925,7000000,10000000,Free,0.0,Everyone,Health & Fitness,24-07-2018,1.0.26,4.1 and up,India
"Pedometer, Step Counter & Weight Loss Tracker App",HEALTH_AND_FITNESS,4.6,548021,27000000,10000000,Free,0.0,Everyone,Health & Fitness,02-08-2018,p5.7.1,4.1 and up,Australia
Sportractive GPS Running Cycling Distance Tracker,HEALTH_AND_FITNESS,4.8,48276,7500000,1000000,Free,0.0,Everyone,Health & Fitness,04-08-2018,3.0.6,4.4 and up,USA
Home Workout for Men - Bodybuilding,HEALTH_AND_FITNESS,4.8,12705,15000000,1000000,Free,0.0,Everyone,Health & Fitness,10-07-2018,1.0.2,4.0 and up,Australia
Fat Burning Workout - Home Weight lose,HEALTH_AND_FITNESS,4.5,706,9400000,100000,Free,0.0,Everyone,Health & Fitness,24-07-2018,1.0.5,4.1 and up,UK
Buttocks and Abdomen,HEALTH_AND_FITNESS,4.4,465,6400000,500000,Free,0.0,Everyone,Health & Fitness,07-06-2018,1.08,4.0.3 and up,UK
Walking for Weight Loss - Walk Tracker,HEALTH_AND_FITNESS,4.5,644,5500000,100000,Free,0.0,Everyone,Health & Fitness,25-07-2018,1.0.4,4.1 and up,USA
Running & Jogging,HEALTH_AND_FITNESS,4.5,6238,3900000,500000,Free,0.0,Everyone,Health & Fitness,30-07-2018,1.1.22,4.1 and up,UK
Walk with Map My Walk,HEALTH_AND_FITNESS,4.5,144040,55000000,5000000,Free,0.0,Everyone,Health & Fitness,27-07-2018,18.7.1,5.0 and up,India
Sleep Sounds,HEALTH_AND_FITNESS,4.8,51227,28000000,1000000,Free,0.0,Everyone,Health & Fitness,13-07-2018,4.0.1,4.0.3 and up,Canada
Lose Belly Fat-Home Abs Fitness Workout,HEALTH_AND_FITNESS,4.6,199,8800000,50000,Free,0.0,Everyone,Health & Fitness,24-07-2018,1.0.7,4.1 and up,Australia
Cycling - Bike Tracker,HEALTH_AND_FITNESS,4.5,9116,4000000,500000,Free,0.0,Everyone,Health & Fitness,30-07-2018,1.1.22,4.1 and up,USA
Abs Training-Burn belly fat,HEALTH_AND_FITNESS,4.7,2071,6900000,100000,Free,0.0,Everyone,Health & Fitness,24-07-2018,1.0.12,4.1 and up,Australia
Calorie Counter - EasyFit free,HEALTH_AND_FITNESS,4.7,50294,11000000,1000000,Free,0.0,Everyone,Health & Fitness,09-07-2018,3.0.7,4.1 and up,Canada
Aunjai i lert u,HEALTH_AND_FITNESS,4.2,1140,5500000,500000,Free,0.0,Teen,Health & Fitness,10-01-2017,1.5,3.0 and up,USA
BetterMe: Weight Loss Workouts,HEALTH_AND_FITNESS,4.2,14709,15000000,5000000,Free,0.0,Everyone,Health & Fitness,26-07-2018,2.8.2,5.0 and up,Australia
Bike Computer - GPS Cycling Tracker,HEALTH_AND_FITNESS,4.4,12029,4300000,1000000,Free,0.0,Everyone,Health & Fitness,04-08-2018,2.6,4.2 and up,Australia
Six Packs for Man–Body Building with No Equipment,HEALTH_AND_FITNESS,4.6,2880,7100000,100000,Free,0.0,Everyone,Health & Fitness,24-07-2018,1.0.8,4.1 and up,UK
Weight Watchers Mobile,HEALTH_AND_FITNESS,4.2,270267,58000000,5000000,Free,0.0,Everyone,Health & Fitness,31-07-2018,6.15.0,4.1 and up,India
The TK-App - everything under control,HEALTH_AND_FITNESS,4.5,8642,18000000,100000,Free,0.0,Everyone,Health & Fitness,02-08-2018,1.2,4.4 and up,India
Walking: Pedometer diet,HEALTH_AND_FITNESS,3.7,1861,1500000,1000000,Free,0.0,Everyone,Health & Fitness,18-06-2018,1.5,2.3 and up,Canada
Recipes for hair and face tried,HEALTH_AND_FITNESS,4.5,1203,6500000,500000,Free,0.0,Everyone,Health & Fitness,16-10-2016,1.2,2.3.3 and up,Canada
Abs Workout - 30 Days Fitness App for Six Pack Abs,HEALTH_AND_FITNESS,4.6,299,11000000,100000,Free,0.0,Everyone,Health & Fitness,03-08-2018,1.3.8,4.4 and up,Australia
8fit Workouts & Meal Planner,HEALTH_AND_FITNESS,4.6,115721,67000000,10000000,Free,0.0,Everyone,Health & Fitness,11-07-2018,3.5.0,5.0 and up,UK
Run with Map My Run,HEALTH_AND_FITNESS,4.5,183662,57000000,5000000,Free,0.0,Everyone,Health & Fitness,27-07-2018,18.7.1,5.0 and up,Australia
Weight Loss Running by Verv,HEALTH_AND_FITNESS,4.5,27393,59000000,1000000,Free,0.0,Mature 17+,Health & Fitness,16-07-2018,6.5.3,4.1 and up,Australia
Couch to 10K Running Trainer,HEALTH_AND_FITNESS,4.6,10445,48000000,500000,Free,0.0,Everyone,Health & Fitness,02-07-2018,112,4.4 and up,India
PumpUp — Fitness Community,HEALTH_AND_FITNESS,4.0,49479,57000000,1000000,Free,0.0,Teen,Health & Fitness,10-07-2018,5.13.0,5.0 and up,India
"Home workouts - fat burning, abs, legs, arms,chest",HEALTH_AND_FITNESS,4.3,4848,13000000,1000000,Free,0.0,Everyone,Health & Fitness,18-07-2018,2.6,4.1 and up,UK
"Fabulous: Motivate Me! Meditate, Relax, Sleep",HEALTH_AND_FITNESS,4.6,205299,31000000,5000000,Free,0.0,Everyone,Health & Fitness,16-07-2018,3.48,4.1 and up,Canada
Run with Map My Run,HEALTH_AND_FITNESS,4.5,183669,57000000,5000000,Free,0.0,Everyone,Health & Fitness,27-07-2018,18.7.1,5.0 and up,UK
Workout Tracker & Gym Trainer - Fitness Log Book,HEALTH_AND_FITNESS,4.6,5420,21000000,500000,Free,0.0,Everyone,Health & Fitness,05-06-2018,2.48.3,4.1 and up,UK
Freeletics: Personal Trainer & Fitness Workouts,HEALTH_AND_FITNESS,4.5,130104,25000000,10000000,Free,0.0,Everyone,Health & Fitness,03-08-2018,5.3,5.0 and up,Australia
Nike Training Club - Workouts & Fitness Plans,HEALTH_AND_FITNESS,4.6,251534,93000000,10000000,Free,0.0,Everyone,Health & Fitness,18-07-2018,5.14.0,5.0 and up,India
Fitbit Coach,HEALTH_AND_FITNESS,4.6,28951,60000000,1000000,Free,0.0,Everyone,Health & Fitness,16-07-2018,4.4,4.4 and up,UK
"JEFIT Workout Tracker, Weight Lifting, Gym Log App",HEALTH_AND_FITNESS,4.5,60096,27000000,5000000,Free,0.0,Teen,Health & Fitness,07-04-2018,10,4.0.3 and up,India
Map My Ride GPS Cycling Riding,HEALTH_AND_FITNESS,4.5,106547,54000000,1000000,Free,0.0,Everyone,Health & Fitness,27-07-2018,18.7.1,5.0 and up,Australia
Weight Loss Running by Verv,HEALTH_AND_FITNESS,4.5,27396,59000000,1000000,Free,0.0,Mature 17+,Health & Fitness,16-07-2018,6.5.3,4.1 and up,USA
Sworkit: Workouts & Fitness Plans,HEALTH_AND_FITNESS,4.6,109756,78000000,5000000,Free,0.0,Everyone,Health & Fitness,01-08-2018,8.2.0,4.0.3 and up,UK
Map My Fitness Workout Trainer,HEALTH_AND_FITNESS,4.4,38343,55000000,1000000,Free,0.0,Everyone,Health & Fitness,27-07-2018,18.7.1,5.0 and up,USA
8fit Workouts & Meal Planner,HEALTH_AND_FITNESS,4.6,115721,67000000,10000000,Free,0.0,Everyone,Health & Fitness,11-07-2018,3.5.0,5.0 and up,India
Daily Yoga - Yoga Fitness Plans,HEALTH_AND_FITNESS,4.4,70769,35000000,5000000,Free,0.0,Everyone,Health & Fitness,24-07-2018,6.2.73,4.0 and up,USA
Relax Meditation: Sleep with Sleep Sounds,HEALTH_AND_FITNESS,4.4,26540,43000000,1000000,Free,0.0,Everyone,Health & Fitness,09-02-2017,2.5.1,4.0.3 and up,India
Free Meditation - Take a Break,HEALTH_AND_FITNESS,4.2,1608,39000000,100000,Free,0.0,Everyone,Health & Fitness,28-07-2016,6.7,2.3.3 and up,Canada
Meditate OM,HEALTH_AND_FITNESS,4.5,19074,4200000,1000000,Free,0.0,Everyone,Health & Fitness,17-01-2018,16,4.0 and up,Australia
Yoga - Track Yoga,HEALTH_AND_FITNESS,4.5,7976,44000000,500000,Free,0.0,Everyone,Health & Fitness,09-07-2018,7,4.0.3 and up,India
My Chakra Meditation,HEALTH_AND_FITNESS,4.4,7586,45000000,500000,Free,0.0,Everyone,Health & Fitness,10-04-2018,1.0.6,2.3.3 and up,Canada
"Meditation Music - Relax, Yoga",HEALTH_AND_FITNESS,4.6,48226,28000000,1000000,Free,0.0,Everyone,Health & Fitness,05-03-2018,3.1.9,4.0.3 and up,USA
Meditation Studio,HEALTH_AND_FITNESS,4.6,1026,29000000,10000,Paid,3.99,Everyone,Health & Fitness,15-05-2018,1.0.6,4.3 and up,Canada
Down Dog: Great Yoga Anywhere,HEALTH_AND_FITNESS,4.9,28945,12000000,500000,Free,0.0,Teen,Health & Fitness,17-05-2018,2.6.1,4.2 and up,UK
21-Day Meditation Experience,HEALTH_AND_FITNESS,4.4,11506,15000000,100000,Free,0.0,Everyone,Health & Fitness,02-08-2018,3.0.0,4.1 and up,Australia
My Chakra Meditation 2,HEALTH_AND_FITNESS,4.3,1288,31000000,100000,Free,0.0,Everyone,Health & Fitness,10-04-2018,2.0.4,2.3.3 and up,USA
Simple Habit Meditation,HEALTH_AND_FITNESS,4.7,11689,20000000,500000,Free,0.0,Everyone,Health & Fitness,27-07-2018,1.29.15,4.4 and up,USA
Headspace: Meditation & Mindfulness,HEALTH_AND_FITNESS,4.6,77563,39000000,10000000,Free,0.0,Everyone,Health & Fitness,23-07-2018,3.6.4,4.2 and up,Australia
Yoga Studio: Mind & Body,HEALTH_AND_FITNESS,4.3,5499,94000000,100000,Free,0.0,Everyone,Health & Fitness,23-07-2018,2.0.16,4.1 and up,Australia
Daily Yoga - Yoga Fitness Plans,HEALTH_AND_FITNESS,4.4,70769,35000000,5000000,Free,0.0,Everyone,Health & Fitness,24-07-2018,6.2.73,4.0 and up,Australia
My Cycles Period and Ovulation,HEALTH_AND_FITNESS,4.3,26652,41000000,1000000,Free,0.0,Everyone,Health & Fitness,04-05-2018,2.3.3,4.0.3 and up,UK
I’m Expecting - Pregnancy App,HEALTH_AND_FITNESS,4.6,71269,49000000,1000000,Free,0.0,Everyone,Health & Fitness,30-03-2018,2.3.2,4.0.3 and up,Australia
The Bump Pregnancy Tracker,HEALTH_AND_FITNESS,4.6,20301,22000000,1000000,Free,0.0,Everyone,Health & Fitness,16-05-2018,3.22,4.3 and up,India
